Supplier Name,Sum of Invoice Nett Amount
Abbeyfield The Dynes,"1,970.72"
Hewlett Packard Ltd,"1,973.84"
Freeways Trust Ltd,"1,975.24"
Parkeon Ltd,"1,980.60"
Excelcare Ltd,"1,984.13"
London Met Enterprises Ltd,"1,985.00"
Rnb Engineering,"1,989.00"
Duncan Lewis & Co,"2,000.00"
Barlow Lyde & Gilbert,"2,000.00"
Bike Dock Solutions Ltd,"2,000.00"
Saxon Court,"2,003.31"
BAAF,"2,011.60"
Christ the King Residential Care Homes Ltd,"2,012.83"
Raglan Housing Association,"2,032.24"
Richmond Upon Thames Churches Housing Trust,"2,045.02"
Ian Williams Ltd,"2,057.00"
Mrs Miraj Aziz,"2,057.14"
Grove House Residential Care Home,"2,057.52"
Tamaris South East Ltd,"2,075.84"
TNS UK Ltd,"2,100.00"
University of Huddersfield,"2,100.00"
Daniel Connal Partnership LLP,"2,117.33"
The Technology Forge,"2,130.00"
A Yeatman & Sons Ltd,"2,167.00"
Holt Jackson Book Company Limited,"2,169.32"
Mrs Enid Lewis,"2,170.43"
Kevin Martin,"2,174.00"
Roseacre Care Ltd,"2,175.30"
Abbeyfield Stangrove Lodge,"2,199.40"
Cory Environmental Waste Management,"2,201.70"
Information Commissioner,"2,205.00"
Kilncroft Rest Home,"2,218.93"
West Lodge Nursing & Residential Home,"2,220.04"
The Queen Alexandra Hospital Home,"2,229.16"
Enmore Lodge Ltd,"2,253.49"
Vitellow Pharmacy (Medipharmacy Group),"2,257.28"
Voice For The Child In Care,"2,278.83"
Care and Residential Homes Ltd,"2,281.16"
Rylands Nursing Home Ltd,"2,295.00"
Homeleigh,"2,308.26"
Dalen Limited,"2,311.19"
Guardian Media Group Plc,"2,334.00"
Ms Grace Aiyetigbo,"2,334.79"
Hill House Nursing Home Ltd,"2,362.20"
Playle & Partners LLP,"2,371.34"
Mornington Hall Nursing Home,"2,396.95"
Miles Training & Consultancy,"2,400.00"
Tracy Seed Associates,"2,400.00"
Chigwell Construction (London) Ltd,"2,407.00"
Entertainment Artistes Bene Fund,"2,415.06"
Rwa (Uk) Co Ltd,"2,415.55"
Univent Ltd,"2,418.44"
Larkfield Hall Ltd,"2,437.22"
Ranyard,"2,456.05"
Cottisbraine House,"2,456.93"
The Hornchurch Nursing Centre,"2,480.00"
Idox Software Ltd,"2,481.71"
Askews Library Services Ltd,"2,486.16"
Prevista Ltd,"2,497.22"
Easigrass Gardens Ltd,"2,500.00"
Mime Consulting Ltd,"2,500.00"
Hope Worldwide,"2,513.80"
DECS Publishing,"2,523.67"
Safety in Mind,"2,525.00"
Family Care Homes Ltd,"2,531.24"
St Martins Community Centre,"2,537.45"
Seven Ways,"2,543.80"
Drewstead Lodge,"2,551.54"
Radcliffe House,"2,558.16"
Prospect Housing & Support Services,"2,559.00"
Civica Ltd,"2,583.74"
Whitworth Lodge,"2,594.09"
Extrafriend Ltd,"2,598.50"
Jiva HealthCare Ltd,"2,601.25"
First Step South,"2,614.05"
Redspot Homecare Ltd,"2,617.20"
TSG Building Services Plc,"2,619.00"
Draftcreate Ltd,"2,623.62"
Hopperways Limited,"2,625.00"
Rosewood Building & Maintenance Services,"2,626.01"
District Surveyors Association Ltd,"2,651.99"
Wentworth Croft,"2,652.72"
Stangas Ltd,"2,675.39"
Charlie Chaplin,"2,702.50"
P & M M Ltd,"2,736.23"
Hillcrest Care Ltd,"2,764.58"
SP Fleet Limited,"2,866.83"
Roughton London Ltd,"2,877.50"
Smitcare Ltd,"2,903.00"
Anchor Trust,"2,923.52"
MWB Business Exchange PLC.,"2,925.00"
Interheat,"2,944.67"
Accora,"2,945.00"
Calfordseaden,"2,950.00"
David Lewis Centre,"2,965.02"
Helping Hand Company Ltd,"2,966.40"
Christopher Kerr,"2,968.75"
Chicks Ltd T/A Babalou,"3,000.00"
Ms Mary White,"3,000.00"
Dreyfus Training & Development Ltd,"3,000.00"
Roehampton University,"3,000.00"
Squirrels Nursery School,"3,000.00"
Acton Writers Forum,"3,000.00"
