Supplier Name,Total
Powell Forster Solictors,"11,854.65"
Choice Support,"11,686.56"
Ashfords,"11,468.25"
Office Depot UK Ltd,"11,461.35"
Cambian Care Services,"11,292.99"
The Children's Family Trust,"11,285.55"
Mr F Hosanee,"11,253.54"
Benecare Education & Residential Child Care,"11,200.00"
Queen Elizabeth Foundation For The Disabled,"11,144.77"
Macintyre Care,"11,110.61"
In Touch Support Ltd,"11,100.00"
Amber Care (East Anglia) Ltd,"11,097.36"
Keith Makin Consultancy Ltd,"11,000.00"
Tinkers Hatch,"10,999.76"
Inclusive Care Support,"10,849.25"
Ellis Williams Architects,"10,846.00"
Vietnamese Mental Health Services,"10,682.96"
Enara Ltd,"10,673.86"
Thames Water Utilities Ltd,"10,590.42"
Seytos Residential,"10,557.26"
L K Recruitment Ltd,"10,477.90"
Independent Community Care Management,"10,348.00"
Fostering Outcomes,"10,327.48"
St Mary's Care Ltd,"10,312.99"
New Economics Foundation,"10,300.00"
St Davids Care In The Community,"10,290.06"
St Nicholas Lodge,"10,230.00"
SP Fleet Limited,"10,055.44"
Road Consultants,"10,000.00"
Space Makers Agency,"10,000.00"
Mount Carmel,"9,973.60"
Roughton London Ltd,"9,970.00"
Bury Council,"9,805.15"
Salvation Army,"9,619.94"
The Chestnuts Limited,"9,511.56"
Saffronland Homes,"9,468.95"
Roseacres Residential Care Home,"9,407.18"
Court Lodge,"9,402.96"
Disability Adaptation Consultancy Services Ltd,"9,309.59"
Vane Hill Care Homes,"9,181.41"
Mr Leon Carr,"9,000.00"
British Gas Services Ltd,"8,976.00"
Supreme Education PLC,"8,895.85"
White Rose Care,"8,852.80"
Brain Injury Rehabilitation Trust,"8,728.33"
Fulham FC Football & Community Scheme Ltd,"8,718.00"
198 Contemporary Arts & Learning Ltd,"8,712.75"
St Marys Lodge,"8,677.74"
Kirkdale Care Centre,"8,525.05"
Thornton Lodge Residential Home,"8,442.23"
Glancestyle Care Homes Ltd,"8,388.29"
Ashby Cohen Solicitors Ltd,"8,333.33"
Next Step Fostering,"8,305.50"
Knights Youth Centre,"8,167.00"
Peter De Haan Charitable Trust,"8,167.00"
Independent Lifestyles LLP,"8,147.03"
Ove Arup & Partners Ltd,"8,120.00"
Wimborne House Ltd,"7,927.15"
Voyage,"7,734.82"
The Priory Grange St Neots,"7,718.86"
Judge & Priestley Solicitors,"7,696.55"
Energy Auditing Agency Limited,"7,664.00"
Stockwell Partnership,"7,612.00"
Virgin Media Business,"7,572.85"
Kingsmead Nursing Home,"7,559.97"
Gretton Homes,"7,454.48"
Ashbrook House Ltd,"7,366.22"
16 Plus Independent Living Project,"7,340.88"
Knights Court,"7,317.11"
Barnardo Services Ltd,"7,308.00"
Cascade Care,"7,299.92"
ARVAL PHH,"7,267.56"
A Yeatman & Sons Ltd,"7,232.00"
International Visual Ltd,"7,200.00"
N Notaro Home Ltd.,"7,180.72"
LKA Educational Consultancy,"7,125.00"
Home Farm Trust Ltd,"7,118.84"
Graham Moody Associates Ltd,"6,875.36"
Quality Protects Children Ltd,"6,857.14"
G M B,"6,773.96"
The Swallows,"6,703.52"
Priory Rehabilitation Services Ltd Grange Potters Bar,"6,690.25"
Scope,"6,685.32"
Rosedene Nursing Home,"6,682.81"
Black Cultural Archives,"6,639.66"
Mission Care,"6,584.83"
Orbis Property Protection Ltd,"6,500.00"
Tcs Cad & Graphic Solutions Ltd,"6,470.00"
Erect Architecture,"6,414.47"
Browne Jacobson Solicitors,"6,367.50"
Barchester Healthcare Homes Ltd,"6,311.35"
Vitalise,"6,150.00"
Castlebar Health Care Ltd,"6,139.60"
Richardson Partnership Care,"6,123.34"
Albany Lodge Nursing Home,"6,111.91"
Kenson Network Engineering Ltd,"6,105.00"
Ashdene House Ltd,"6,067.94"
Clear Channel UK Ltd,"6,000.00"
Whole Nine Yards Productions Ltd.,"6,000.00"
See Ability,"5,985.11"
Royal Association for Deaf People,"5,941.00"
Muf Architecture Art,"5,825.00"
Futuresteps Ltd,"5,803.01"
High View Care Services Ltd,"5,757.14"
Truecare Group Ltd,"5,753.82"
HLMAD Ltd,"5,750.00"
SV LAW,"5,750.00"
Care of Three Ltd,"5,745.85"
Notting Hill Housing Trust,"5,698.90"
Database Developments Ltd,"5,666.00"
Aitch Care Homes Ltd,"5,651.34"
Sternberg Reed Taylor & Gill Sols,"5,636.00"
Supreme Care Services Ltd,"5,591.07"
National Society For Epilepsy,"5,560.42"
Sunbeam Day Nursery,"5,500.00"
Aspect Construction,"5,495.00"
Ashchurch House Ltd,"5,462.20"
Scan Coin Ltd,"5,427.60"
Community Trust Housing,"5,424.33"
CT Plus,"5,358.45"
Barlow Lyde & Gilbert,"5,340.50"
Salisbury Support Services Ltd,"5,261.72"
Dawsons Music Ltd,"5,259.74"
Glasdon Manufacturing Ltd,"5,216.70"
The Frances Taylor Foundation,"5,206.49"
Kendall Cars,"5,138.00"
Anchor Trust,"5,108.88"
Parkcare Homes No 2 Ltd,"5,108.52"
South London Family Centre,"5,060.00"
Hope Worldwide,"5,027.60"
T. V. Edwards LLP,"5,000.00"
Snow-Camp,"4,999.50"
BUPA Care Services,"4,990.38"
The Fostering Partnership,"4,989.29"
Lakeside Nursing & Residential Home,"4,967.75"
Linton Fuel Oils Ltd,"4,947.50"
Link Fostering Agency,"4,853.32"
Parkeon Ltd,"4,833.80"
Handymans Corner (Brixton) Ltd,"4,800.62"
Wrixon Care Services,"4,792.25"
Treasure House (London) CIC,"4,760.00"
Broadgate Communications,"4,756.00"
Milbury Care Services Ltd,"4,694.95"
Futures Theatre Company,"4,666.00"
